rssi,snr,pdr,latency_ms,retries,etx,queue_pct,battery_pct,temperature_c,time_on_air_s,spreading_factor,bandwidth_khz,link_success,data_type
-82.82,7.98,1.0,370.71,0,1.0,44.1,63.65,62.12,0.2468,9,125,1,SYNTHETIC-DEMO
-107.18,5.87,1.0,190.11,0,1.0,41.67,53.93,35.51,0.0719,7,125,1,SYNTHETIC-DEMO
-67.78,8.3,0.9316,164.31,0,1.073,42.52,42.65,47.14,0.0719,7,125,1,SYNTHETIC-DEMO
-82.02,-2.85,0.7521,781.67,1,1.33,59.29,35.63,46.81,0.2468,11,500,1,SYNTHETIC-DEMO
-68.43,1.66,0.9345,1052.13,0,1.07,52.88,63.63,35.01,0.9052,12,250,1,SYNTHETIC-DEMO
-99.3,-2.93,0.6219,491.99,0,1.608,8.82,94.41,33.25,0.4526,10,125,1,SYNTHETIC-DEMO
-122.79,-1.21,0.8336,180.52,0,1.2,13.37,62.19,55.93,0.1336,8,125,1,SYNTHETIC-DEMO
-87.55,10.8,0.9169,114.13,0,1.091,5.28,30.48,23.17,0.0719,7,125,1,SYNTHETIC-DEMO
-102.95,-2.16,0.8093,932.37,1,1.236,85.51,49.03,35.1,0.2468,9,125,1,SYNTHETIC-DEMO
-95.87,1.22,0.8955,191.61,0,1.117,40.28,46.43,15.84,0.0668,8,250,1,SYNTHETIC-DEMO
-80.73,-4.22,0.6395,308.11,1,1.564,47.2,61.84,23.8,0.018,7,500,1,SYNTHETIC-DEMO
-79.46,7.42,1.0,180.83,0,1.0,6.79,25.95,32.76,0.1336,8,125,1,SYNTHETIC-DEMO
-123.21,-5.33,0.5425,173.18,0,1.843,41.59,98.01,34.52,0.0719,7,125,0,SYNTHETIC-DEMO
-75.0,5.38,0.9217,1192.61,0,1.085,65.84,36.64,17.34,0.9871,11,125,1,SYNTHETIC-DEMO
-92.92,-1.6,0.8246,469.6,1,1.213,28.0,11.01,32.63,0.1336,8,125,1,SYNTHETIC-DEMO
-88.81,1.56,1.0,416.29,0,1.0,62.92,28.4,38.49,0.2468,9,125,1,SYNTHETIC-DEMO
-105.63,-6.12,0.3358,1313.88,4,2.978,12.21,55.2,31.59,0.1336,8,125,1,SYNTHETIC-DEMO
-97.65,-2.42,0.7936,798.87,1,1.26,53.19,72.53,63.25,0.2468,9,125,1,SYNTHETIC-DEMO
-78.83,0.85,0.869,589.34,0,1.151,92.71,75.18,30.48,0.2468,9,125,1,SYNTHETIC-DEMO
-74.51,2.81,1.0,387.66,0,1.0,90.78,85.13,58.89,0.0719,7,125,1,SYNTHETIC-DEMO
-99.84,-4.0,0.6015,2000.0,2,1.662,78.47,91.63,34.03,1.8104,12,125,0,SYNTHETIC-DEMO
-80.08,7.0,1.0,560.42,0,1.0,47.48,15.84,24.25,0.4526,10,125,1,SYNTHETIC-DEMO
-108.23,-6.08,0.3675,2000.0,4,2.721,6.64,58.51,43.64,0.9871,11,125,0,SYNTHETIC-DEMO
-70.92,7.09,1.0,1137.14,0,1.0,57.04,57.79,29.4,0.9871,11,125,1,SYNTHETIC-DEMO
-85.36,-0.16,0.7984,531.23,2,1.252,13.4,83.82,47.07,0.0617,9,500,1,SYNTHETIC-DEMO
-74.61,2.66,0.8941,2000.0,1,1.118,23.96,60.62,63.95,0.9871,11,125,1,SYNTHETIC-DEMO
-93.98,-2.32,0.6631,185.81,0,1.508,58.94,26.26,60.81,0.018,7,500,1,SYNTHETIC-DEMO
-110.11,0.89,1.0,176.73,0,1.0,40.04,34.89,15.55,0.0719,7,125,1,SYNTHETIC-DEMO
-97.1,0.09,0.8776,128.61,0,1.139,15.92,39.76,51.47,0.0719,7,125,1,SYNTHETIC-DEMO
-100.2,-2.67,0.7133,473.47,1,1.402,23.63,72.1,20.07,0.1336,8,125,1,SYNTHETIC-DEMO
-103.37,-4.36,0.5242,800.25,2,1.908,33.75,36.58,36.0,0.1336,8,125,1,SYNTHETIC-DEMO
-111.21,-7.51,0.2623,699.09,1,3.812,82.62,37.55,31.57,0.1336,8,125,1,SYNTHETIC-DEMO
-75.65,3.57,0.9156,559.02,0,1.092,88.9,44.06,50.35,0.2263,10,250,1,SYNTHETIC-DEMO
-119.39,-9.87,0.2149,1906.7,5,4.653,94.36,63.74,42.19,0.1336,8,125,0,SYNTHETIC-DEMO
-67.31,6.65,0.9433,417.19,0,1.06,82.06,52.89,36.35,0.1336,8,125,1,SYNTHETIC-DEMO
-113.62,-5.88,0.4977,2000.0,4,2.009,91.93,86.63,59.41,0.2468,9,125,0,SYNTHETIC-DEMO
-61.31,6.95,0.9893,195.81,0,1.011,51.83,61.09,59.21,0.0719,7,125,1,SYNTHETIC-DEMO
-60.75,14.15,0.987,261.47,0,1.013,50.94,68.62,39.96,0.1132,10,500,1,SYNTHETIC-DEMO
-99.1,-0.63,0.9124,136.01,0,1.096,40.31,66.61,18.49,0.036,7,250,1,SYNTHETIC-DEMO
-60.79,9.16,0.9955,1894.22,0,1.005,32.1,75.4,22.32,1.8104,12,125,1,SYNTHETIC-DEMO
-68.51,12.36,0.9524,633.13,0,1.05,64.0,85.51,38.7,0.4526,10,125,1,SYNTHETIC-DEMO
-119.64,-9.67,0.121,1858.08,7,8.266,76.75,55.6,37.08,0.0719,7,125,0,SYNTHETIC-DEMO
-63.42,7.44,0.9811,316.26,0,1.019,92.44,14.22,62.93,0.018,7,500,0,SYNTHETIC-DEMO
-122.24,-10.98,0.0428,2000.0,7,10.0,62.05,19.22,15.11,0.4526,10,125,0,SYNTHETIC-DEMO
-113.18,-3.05,0.6699,1230.57,2,1.493,75.11,32.27,64.12,0.2263,10,250,1,SYNTHETIC-DEMO
-87.0,5.37,0.9085,542.91,0,1.101,32.56,93.11,22.72,0.4526,10,125,1,SYNTHETIC-DEMO
-119.75,-13.43,0.1213,2000.0,7,8.246,33.96,71.86,23.65,0.1132,10,500,0,SYNTHETIC-DEMO
-114.49,-0.61,0.8806,82.06,0,1.136,7.89,25.09,40.73,0.0719,7,125,0,SYNTHETIC-DEMO
-63.02,10.33,0.9365,270.68,0,1.068,51.54,48.65,29.25,0.1336,8,125,1,SYNTHETIC-DEMO
-60.35,10.04,1.0,229.0,0,1.0,62.8,87.99,25.46,0.0719,7,125,1,SYNTHETIC-DEMO
-73.12,2.37,0.9035,373.68,0,1.107,45.52,84.71,50.11,0.2468,11,500,1,SYNTHETIC-DEMO
-91.51,4.82,1.0,137.71,0,1.0,33.31,94.08,36.25,0.0617,9,500,1,SYNTHETIC-DEMO
-66.48,14.27,1.0,339.22,0,1.0,76.63,45.27,41.38,0.0668,8,250,1,SYNTHETIC-DEMO
-117.73,-5.86,0.4681,404.23,1,2.136,62.84,95.53,21.55,0.036,7,250,1,SYNTHETIC-DEMO
-63.71,7.96,0.9188,486.16,0,1.088,91.85,30.71,21.92,0.1336,8,125,1,SYNTHETIC-DEMO
-102.15,-0.46,0.8694,166.28,0,1.15,40.04,48.92,36.73,0.0668,8,250,1,SYNTHETIC-DEMO
-69.0,6.35,1.0,541.58,0,1.0,87.85,79.66,63.4,0.2263,10,250,1,SYNTHETIC-DEMO
-81.56,3.99,0.9137,1377.11,2,1.094,89.89,79.71,20.06,0.2468,9,125,0,SYNTHETIC-DEMO
-62.58,12.95,0.9193,1228.61,0,1.088,75.86,68.71,19.33,0.9871,11,125,1,SYNTHETIC-DEMO
-68.8,7.57,0.9231,302.85,0,1.083,60.15,86.18,17.79,0.1336,8,125,1,SYNTHETIC-DEMO
-67.29,9.19,1.0,244.04,0,1.0,58.98,65.53,16.21,0.0719,7,125,1,SYNTHETIC-DEMO
-83.94,11.13,1.0,587.21,0,1.0,92.13,52.67,61.28,0.2263,10,250,1,SYNTHETIC-DEMO
-70.84,12.41,1.0,548.81,0,1.0,44.86,21.09,15.2,0.4526,10,125,0,SYNTHETIC-DEMO
-75.79,2.39,0.8998,351.15,0,1.111,48.12,15.84,33.74,0.2468,9,125,1,SYNTHETIC-DEMO
-114.49,2.48,0.9639,1377.21,1,1.037,88.72,50.73,48.53,0.4526,10,125,1,SYNTHETIC-DEMO
-82.84,9.11,0.994,437.23,0,1.006,87.19,90.14,62.2,0.1336,8,125,0,SYNTHETIC-DEMO
-115.37,1.39,0.9948,730.12,1,1.005,32.18,66.08,34.11,0.2468,9,125,1,SYNTHETIC-DEMO
-68.49,5.69,0.9706,270.91,0,1.03,74.54,17.48,32.56,0.0334,8,500,1,SYNTHETIC-DEMO
-120.71,-4.44,0.5636,200.91,0,1.774,53.18,58.43,46.82,0.0719,7,125,0,SYNTHETIC-DEMO
-60.84,8.42,1.0,253.52,0,1.0,68.42,53.06,37.28,0.036,7,250,1,SYNTHETIC-DEMO
-98.96,0.68,0.8809,222.16,0,1.135,53.62,84.09,42.24,0.0719,7,125,0,SYNTHETIC-DEMO
-113.91,2.65,0.8621,137.79,0,1.16,38.8,47.46,64.42,0.0617,9,500,0,SYNTHETIC-DEMO
-64.18,9.44,0.996,187.17,0,1.004,22.1,24.63,35.84,0.1336,8,125,1,SYNTHETIC-DEMO
-122.05,-11.53,0.067,2000.0,7,10.0,33.98,99.89,21.97,0.2468,9,125,0,SYNTHETIC-DEMO
-94.44,0.08,0.7924,1038.42,0,1.262,12.5,80.39,58.9,0.9871,11,125,1,SYNTHETIC-DEMO
-74.94,3.98,0.9704,80.01,0,1.03,29.01,11.04,45.54,0.018,7,500,1,SYNTHETIC-DEMO
-104.41,5.16,0.9853,270.67,0,1.015,45.73,97.75,26.9,0.1336,8,125,1,SYNTHETIC-DEMO
-90.63,-0.5,0.7849,603.18,0,1.274,49.68,61.75,49.74,0.4526,10,125,1,SYNTHETIC-DEMO
-79.47,3.71,0.899,300.21,0,1.112,80.84,19.91,16.64,0.018,7,500,1,SYNTHETIC-DEMO
-63.12,7.92,1.0,130.48,0,1.0,11.0,44.71,15.69,0.0719,7,125,1,SYNTHETIC-DEMO
-118.32,1.02,0.8554,155.33,0,1.169,10.2,11.49,44.11,0.1336,8,125,1,SYNTHETIC-DEMO
-114.78,-0.33,0.8285,342.77,1,1.207,31.44,51.49,53.29,0.0719,7,125,1,SYNTHETIC-DEMO
-91.92,4.01,0.933,1020.51,0,1.072,9.54,24.39,20.73,0.9871,11,125,1,SYNTHETIC-DEMO
-97.8,1.37,0.9588,494.24,0,1.043,6.62,15.09,62.26,0.4526,10,125,1,SYNTHETIC-DEMO
-98.3,1.18,0.9505,335.44,0,1.052,48.37,82.92,40.9,0.2468,9,125,1,SYNTHETIC-DEMO
-105.7,-1.16,0.9056,654.62,0,1.104,54.87,14.9,31.49,0.4936,11,250,1,SYNTHETIC-DEMO
-88.56,10.05,0.9781,546.28,0,1.022,27.44,59.03,24.48,0.4526,10,125,1,SYNTHETIC-DEMO
-67.59,3.67,1.0,388.52,0,1.0,90.07,78.75,36.84,0.0719,7,125,1,SYNTHETIC-DEMO
-114.54,-13.31,0.0102,2000.0,7,10.0,68.34,84.96,42.31,0.9871,11,125,0,SYNTHETIC-DEMO
-111.01,-1.2,0.7685,307.79,0,1.301,12.02,85.06,25.83,0.2468,9,125,1,SYNTHETIC-DEMO
-81.4,9.56,1.0,792.49,0,1.0,91.02,47.66,42.99,0.4526,10,125,1,SYNTHETIC-DEMO
-121.35,-4.69,0.528,1957.81,2,1.894,60.5,22.77,33.82,0.4936,11,250,0,SYNTHETIC-DEMO
-81.21,-2.23,0.7297,469.54,2,1.37,18.26,46.67,16.27,0.0334,8,500,1,SYNTHETIC-DEMO
-104.56,1.47,1.0,100.4,0,1.0,12.94,17.86,59.86,0.036,7,250,1,SYNTHETIC-DEMO
-101.74,-4.16,0.6709,118.29,0,1.491,15.52,79.5,16.78,0.0719,7,125,1,SYNTHETIC-DEMO
-98.64,-4.15,0.5742,637.76,2,1.741,51.16,59.41,31.07,0.0668,8,250,1,SYNTHETIC-DEMO
-102.28,-3.99,0.5034,787.44,2,1.986,48.51,86.29,47.49,0.1132,10,500,0,SYNTHETIC-DEMO
-70.32,1.79,0.8444,1263.85,0,1.184,83.51,54.53,60.13,0.9871,11,125,1,SYNTHETIC-DEMO
-63.51,9.84,1.0,132.33,0,1.0,18.95,80.84,26.31,0.0719,7,125,1,SYNTHETIC-DEMO
-89.38,0.39,0.9665,296.19,0,1.035,28.11,38.77,64.34,0.2468,9,125,1,SYNTHETIC-DEMO
-87.18,-1.45,0.8803,357.1,0,1.136,75.09,18.59,40.23,0.1336,8,125,1,SYNTHETIC-DEMO
-120.42,3.22,1.0,128.31,0,1.0,48.8,81.36,29.15,0.018,7,500,1,SYNTHETIC-DEMO
-78.64,3.48,1.0,238.17,0,1.0,61.22,10.11,46.25,0.0719,7,125,1,SYNTHETIC-DEMO
-87.03,3.42,1.0,225.38,0,1.0,42.17,60.56,17.04,0.1336,8,125,1,SYNTHETIC-DEMO
-121.72,0.01,0.9495,1097.53,0,1.053,42.49,78.77,23.76,0.9871,11,125,1,SYNTHETIC-DEMO
-112.1,-0.65,0.9185,485.61,0,1.089,93.04,30.1,49.89,0.1336,8,125,1,SYNTHETIC-DEMO
-111.87,3.71,0.9357,554.03,0,1.069,89.34,21.71,42.94,0.2468,9,125,1,SYNTHETIC-DEMO
-113.89,-5.91,0.3889,1891.69,6,2.571,65.07,35.9,35.02,0.1132,10,500,0,SYNTHETIC-DEMO
-82.19,8.12,0.9582,179.14,0,1.044,28.59,30.59,30.01,0.1336,8,125,1,SYNTHETIC-DEMO
-64.65,10.55,0.9289,1131.3,0,1.077,76.13,24.9,55.03,0.9052,12,250,1,SYNTHETIC-DEMO
-75.41,9.63,0.9635,1950.4,0,1.038,54.52,58.45,26.71,1.8104,12,125,1,SYNTHETIC-DEMO
-93.97,4.46,1.0,294.04,0,1.0,61.8,56.26,63.44,0.1336,8,125,1,SYNTHETIC-DEMO
-98.74,-2.39,0.8341,304.62,0,1.199,59.95,64.4,27.62,0.1336,8,125,1,SYNTHETIC-DEMO
-99.88,9.91,0.9275,128.17,0,1.078,8.16,69.8,59.33,0.0668,8,250,1,SYNTHETIC-DEMO
-85.92,-4.39,0.5929,201.13,0,1.687,20.01,86.98,26.9,0.1336,8,125,1,SYNTHETIC-DEMO
-101.65,-3.44,0.7447,162.93,0,1.343,40.57,32.39,24.45,0.0719,7,125,1,SYNTHETIC-DEMO
-110.3,-0.19,0.8138,682.5,1,1.229,10.6,99.28,62.79,0.2468,9,125,0,SYNTHETIC-DEMO
-85.82,4.56,1.0,266.63,0,1.0,67.8,74.42,24.75,0.0617,9,500,1,SYNTHETIC-DEMO
-99.6,0.57,0.862,355.11,1,1.16,25.04,54.04,50.11,0.0719,7,125,0,SYNTHETIC-DEMO
-124.08,-3.52,0.6263,441.08,0,1.597,89.05,28.07,18.88,0.1336,8,125,1,SYNTHETIC-DEMO
-123.55,-8.84,0.2605,2000.0,5,3.839,84.77,18.24,19.09,0.9871,11,125,0,SYNTHETIC-DEMO
-107.18,1.14,0.8327,237.26,0,1.201,59.75,69.59,23.4,0.0719,7,125,1,SYNTHETIC-DEMO
-91.69,1.62,0.9237,82.52,0,1.083,25.62,17.37,42.19,0.036,7,250,1,SYNTHETIC-DEMO
-101.97,4.41,0.9785,232.65,0,1.022,62.57,80.66,56.25,0.0334,8,500,1,SYNTHETIC-DEMO
-123.44,-6.93,0.3966,2000.0,2,2.521,18.55,54.77,42.1,1.8104,12,125,0,SYNTHETIC-DEMO
-110.5,-0.99,0.8475,96.19,0,1.18,46.6,66.16,26.43,0.018,7,500,1,SYNTHETIC-DEMO
-118.73,-2.45,0.8238,211.05,0,1.214,32.57,72.08,26.61,0.1234,9,250,1,SYNTHETIC-DEMO
-63.34,12.33,0.9626,534.33,0,1.039,34.57,80.62,56.23,0.4526,10,125,1,SYNTHETIC-DEMO
-104.67,-1.04,0.8287,87.64,0,1.207,30.91,98.69,46.24,0.018,7,500,1,SYNTHETIC-DEMO
-124.04,-7.01,0.2135,2000.0,7,4.685,29.82,80.89,21.52,0.4526,10,125,0,SYNTHETIC-DEMO
-82.06,1.77,1.0,279.11,0,1.0,49.47,93.34,16.44,0.1336,8,125,1,SYNTHETIC-DEMO
-109.89,-0.77,0.7911,329.84,0,1.264,36.49,79.7,51.57,0.2468,9,125,1,SYNTHETIC-DEMO
-88.16,-3.68,0.7147,675.01,1,1.399,27.54,63.13,34.89,0.2468,9,125,1,SYNTHETIC-DEMO
-115.2,-2.72,0.6935,293.64,0,1.442,25.24,87.72,41.37,0.2468,9,125,1,SYNTHETIC-DEMO
-61.04,11.08,0.9314,276.43,0,1.074,75.54,90.96,53.8,0.036,7,250,1,SYNTHETIC-DEMO
-61.93,15.0,0.9836,275.17,0,1.017,14.79,16.21,23.18,0.2263,10,250,1,SYNTHETIC-DEMO
-82.36,2.1,0.9095,149.96,0,1.099,39.07,12.23,58.52,0.0668,8,250,1,SYNTHETIC-DEMO
-79.03,5.9,1.0,308.73,0,1.0,73.44,80.42,64.85,0.0719,7,125,1,SYNTHETIC-DEMO
-97.32,1.23,0.9777,56.55,0,1.023,21.67,52.82,38.81,0.018,7,500,1,SYNTHETIC-DEMO
-62.46,5.51,0.9268,330.45,0,1.079,35.82,59.65,42.37,0.2468,9,125,1,SYNTHETIC-DEMO
-97.46,0.62,0.9124,290.9,0,1.096,6.97,82.79,51.89,0.2468,9,125,1,SYNTHETIC-DEMO
-109.43,-7.05,0.3394,285.83,0,2.946,73.25,25.91,16.28,0.0719,7,125,1,SYNTHETIC-DEMO
-117.5,-1.0,0.8476,898.88,1,1.18,75.62,81.95,51.06,0.2468,9,125,1,SYNTHETIC-DEMO
-111.47,-0.8,0.9262,235.59,0,1.08,54.95,89.71,61.88,0.0719,7,125,1,SYNTHETIC-DEMO
-87.81,4.56,0.9012,425.53,0,1.11,62.7,32.64,47.41,0.2468,9,125,1,SYNTHETIC-DEMO
-109.07,-4.5,0.4583,285.66,1,2.182,24.09,68.25,22.44,0.036,7,250,0,SYNTHETIC-DEMO
-82.47,9.35,1.0,263.1,0,1.0,65.17,93.65,40.81,0.0617,9,500,1,SYNTHETIC-DEMO
-100.16,-3.84,0.6634,558.25,1,1.507,80.69,69.25,15.79,0.0668,8,250,0,SYNTHETIC-DEMO
-67.35,8.34,1.0,1043.32,0,1.0,22.09,28.68,30.71,0.9871,11,125,1,SYNTHETIC-DEMO
-88.7,-1.27,0.7588,460.71,1,1.318,72.84,60.74,18.96,0.036,7,250,0,SYNTHETIC-DEMO
-84.53,3.23,0.9021,277.01,0,1.108,64.32,96.94,51.96,0.0668,8,250,1,SYNTHETIC-DEMO
-88.82,7.24,1.0,174.51,0,1.0,43.38,91.75,52.85,0.0719,7,125,1,SYNTHETIC-DEMO
-67.44,9.79,0.9648,528.52,0,1.036,5.14,23.55,49.71,0.4936,11,250,1,SYNTHETIC-DEMO
-120.88,-8.44,0.2334,2000.0,6,4.285,79.2,41.04,47.25,0.9871,11,125,0,SYNTHETIC-DEMO
-120.62,-6.98,0.2417,1627.49,5,4.138,36.0,14.39,26.34,0.1336,8,125,1,SYNTHETIC-DEMO
-79.39,3.83,1.0,274.33,0,1.0,10.37,53.27,30.24,0.2468,9,125,1,SYNTHETIC-DEMO
-75.08,3.31,1.0,674.52,0,1.0,72.47,65.62,30.41,0.4526,10,125,1,SYNTHETIC-DEMO
-96.82,1.75,1.0,444.57,0,1.0,87.27,19.43,29.74,0.1234,9,250,0,SYNTHETIC-DEMO
-102.1,7.12,0.996,361.74,0,1.004,37.68,32.49,52.27,0.2468,9,125,1,SYNTHETIC-DEMO
-106.93,-3.69,0.5758,669.4,2,1.737,56.42,77.64,41.6,0.0719,7,125,1,SYNTHETIC-DEMO
-109.76,4.31,0.9047,293.66,1,1.105,42.75,79.14,56.1,0.018,7,500,1,SYNTHETIC-DEMO
-65.72,8.56,0.9448,328.23,0,1.058,32.94,82.73,41.36,0.2468,11,500,1,SYNTHETIC-DEMO
-105.82,-0.33,0.8907,1256.39,0,1.123,81.15,19.69,27.26,0.9871,11,125,1,SYNTHETIC-DEMO
-82.87,5.19,0.9705,292.69,0,1.03,12.08,59.34,62.94,0.2468,9,125,0,SYNTHETIC-DEMO
-73.84,0.6,0.8994,203.64,0,1.112,24.11,30.03,45.92,0.1336,8,125,1,SYNTHETIC-DEMO
-123.57,-4.3,0.5642,201.55,0,1.772,20.38,89.07,61.7,0.1336,8,125,1,SYNTHETIC-DEMO
-122.8,-14.21,0.0832,2000.0,7,10.0,86.95,32.04,63.08,0.4526,10,125,0,SYNTHETIC-DEMO
-103.35,-0.1,0.9426,1248.75,0,1.061,76.89,94.21,57.45,0.9871,11,125,1,SYNTHETIC-DEMO
-79.76,5.63,0.8888,723.0,0,1.125,72.61,83.14,24.29,0.4936,11,250,1,SYNTHETIC-DEMO
-108.05,-7.38,0.3618,2000.0,5,2.764,93.17,51.08,34.33,0.2263,10,250,0,SYNTHETIC-DEMO
-124.9,-6.0,0.3791,1862.09,4,2.638,18.26,44.15,36.24,0.2468,9,125,0,SYNTHETIC-DEMO
-106.27,-2.59,0.6719,594.26,2,1.488,45.53,35.81,35.54,0.0719,7,125,0,SYNTHETIC-DEMO
-119.14,-5.32,0.5669,284.69,0,1.764,72.41,92.76,28.87,0.0719,7,125,0,SYNTHETIC-DEMO
-110.74,-3.19,0.5983,1216.29,0,1.672,67.24,29.15,22.51,0.9871,11,125,1,SYNTHETIC-DEMO
-103.34,-2.9,0.6629,701.98,1,1.509,20.6,65.85,62.79,0.2468,9,125,1,SYNTHETIC-DEMO
-116.68,-3.9,0.6893,280.21,0,1.451,72.11,47.84,29.72,0.0719,7,125,1,SYNTHETIC-DEMO
-79.09,8.26,0.9902,187.66,0,1.01,45.11,13.37,30.57,0.0719,7,125,1,SYNTHETIC-DEMO
-108.37,-2.93,0.7813,896.71,1,1.28,79.98,51.14,25.2,0.2468,9,125,1,SYNTHETIC-DEMO
-82.03,4.32,0.9248,361.39,1,1.081,19.03,73.77,21.71,0.0719,7,125,1,SYNTHETIC-DEMO
-86.06,5.76,0.9681,298.53,0,1.033,64.3,79.74,47.22,0.0719,7,125,1,SYNTHETIC-DEMO
-66.63,15.0,0.91,288.64,0,1.099,11.39,82.08,19.64,0.2468,9,125,1,SYNTHETIC-DEMO
-119.28,-5.5,0.4414,1090.58,2,2.265,18.84,31.15,25.82,0.2468,9,125,1,SYNTHETIC-DEMO
-111.05,-8.72,0.0843,2000.0,7,10.0,51.61,94.11,42.64,0.2468,9,125,0,SYNTHETIC-DEMO
-68.76,4.67,0.9429,144.7,0,1.061,24.15,66.64,28.1,0.0719,7,125,1,SYNTHETIC-DEMO
-71.56,9.22,1.0,576.15,0,1.0,53.14,37.84,48.21,0.4526,10,125,1,SYNTHETIC-DEMO
-112.51,2.17,0.991,274.18,0,1.009,68.73,48.96,39.55,0.0719,7,125,1,SYNTHETIC-DEMO
-118.0,-7.81,0.2309,585.98,1,4.331,63.25,62.02,33.59,0.1336,8,125,0,SYNTHETIC-DEMO
-69.34,7.51,0.8959,464.55,0,1.116,76.0,29.0,60.98,0.2263,10,250,1,SYNTHETIC-DEMO
-113.42,-3.29,0.591,736.71,1,1.692,29.42,96.32,32.87,0.2468,9,125,1,SYNTHETIC-DEMO
-68.38,5.21,0.9319,764.95,0,1.073,90.47,26.24,34.78,0.4526,10,125,1,SYNTHETIC-DEMO
-62.53,14.74,0.9029,185.37,0,1.108,42.88,43.11,56.79,0.0617,9,500,1,SYNTHETIC-DEMO
-110.65,1.41,0.872,102.52,0,1.147,13.57,70.87,32.76,0.0617,9,500,1,SYNTHETIC-DEMO
-70.37,8.61,1.0,281.24,0,1.0,70.89,60.84,31.38,0.0719,7,125,1,SYNTHETIC-DEMO
-97.45,-0.83,0.7663,462.09,1,1.305,63.97,36.05,31.93,0.0668,8,250,1,SYNTHETIC-DEMO
-73.73,9.91,1.0,250.06,0,1.0,37.66,67.32,30.62,0.1336,8,125,1,SYNTHETIC-DEMO
-98.52,2.17,0.8582,148.86,0,1.165,49.21,76.39,48.22,0.018,7,500,1,SYNTHETIC-DEMO
